author,num_pages_grp,0
18-Oct,500-749,1
18-Oct,<250,1
1st Book Library,500-749,1
1st World Library,250-499,1
A & C Black (Childrens books),<250,1
A Harvest Book/Harcourt  Inc.,<250,1
A K PETERS,250-499,1
AA World Services,500-749,1
ACE,250-499,1
ADV Manga,<250,10
AHA! Process,<250,1
AIT Planet Lar,<250,1
AK Press,250-499,1
AMR/Advanced Management Reports,<250,1
ASCD,<250,1
AVA Publishing,<250,1
Abacus,250-499,3
Abacus,500-749,2
Abacus,<250,1
Abacus Books,500-749,1
Abacus Books (London),250-499,1
Abdo Publishing Company,<250,3
Abingdon Press,250-499,1
Abradale Books/Harry N. Abrams,500-749,1
Abraham Guillen Press,<250,1
Abrams,250-499,1
Abrams,<250,1
Absolute Press,<250,1
Abstract Studio,250-499,1
Academic Press,250-499,1
Academica Press,<250,1
Academy Chicago Publishers,250-499,1
Ace,250-499,26
Ace,500-749,3
Ace,<250,6
Ace Book,250-499,1
Ace Books,250-499,22
Ace Books,<250,2
Ace Hardcover,250-499,1
Ace Trade,250-499,2
Ace/SFBC,<250,1
Acento Editorial,250-499,1
Acropolis Books (NY),250-499,1
Actes Sud,250-499,1
Actes Sud,>=1000,1
Adamant Media Corporation,500-749,1
Adams Media,250-499,1
Adams Media,<250,1
Addison Wesley,750-999,1
Addison Wesley Publishing Company,250-499,2
Addison Wesley Publishing Company,500-749,1
Addison Wesley Publishing Company,<250,2
Addison-Wesley Professional,250-499,3
Addison-Wesley Professional,500-749,1
Advantage World Press,<250,1
Adventures Unlimited Press,<250,2
Aegypan,<250,1
Aerie,<250,1
Aivia Press,500-749,1
Akashic Books/Punk Planet Books,250-499,1
Aladdin,250-499,5
Aladdin,500-749,1
Aladdin,<250,13
Aladdin Paperbacks,250-499,2
Aladdin Paperbacks,<250,9
Alan Rodgers Books,250-499,1
Albert Whitman  Company,<250,2
Albin Michel,250-499,3
Albin Michel,500-749,1
Albin Michel,<250,1
Albury Publishing,250-499,1
Alcoholics Anonymous World Services Inc,250-499,1
Alderac Entertainment Group,250-499,1
Alderac Entertainment Group (AEG),<250,1
Alfabeta Bokförlag,<250,1
Alfaguara,250-499,3
Alfaguara,500-749,1
Alfaguara,<250,1
Alfaguara Infantil,<250,1
Alfred A. Knopf,250-499,13
Alfred A. Knopf,500-749,2
Alfred A. Knopf,750-999,2
Alfred A. Knopf,<250,13
Alfred A. Knopf,>=1000,1
Alfred A. Knopf  Inc.,750-999,1
Alfred A. Knopf Books for Young Readers,250-499,2
Alfred A. Knopf Books for Young Readers,500-749,1
Alfred A. Knopf Books for Young Readers,<250,2
Alfred A. Knopf Borzoi Books,250-499,1
Alfred A.Knopf,<250,1
Algonquin Books,250-499,3
Algonquin Books,<250,2
Alianza Editorial,<250,1
Alison Green Books,<250,1
Allen & Ulwin,250-499,1
Allen Lane,250-499,2
Alliance Publishing,500-749,1
Allworth,<250,1
Allyn & Bacon,750-999,1
Allyn & Bacon,<250,2
Alpha,250-499,2
Alpha Books,250-499,1
Alyson Books,250-499,1
Alyson Books,<250,1
Amadeus,250-499,1
Amereon Limited,<250,1
Amereon Ltd,<250,1
America's Test Kitchen,250-499,1
America's Test Kitchen,<250,1
American Diabetes Association,250-499,1
American Girl Publishing Inc,<250,5
American University in Cairo Press,250-499,1
Amherst Media,<250,1
Amherst Media  Inc.,<250,1
Amistad,250-499,8
Amistad,<250,2
Amistad Press,250-499,1
Anagrama,250-499,1
Anagrama,<250,6
Anchor,250-499,41
Anchor,500-749,9
Anchor,750-999,1
Anchor,<250,11
Anchor Bible,500-749,2
Anchor Books,250-499,23
Anchor Books,500-749,4
Anchor Books,750-999,2
Anchor Books,<250,10
Anchor Books,>=1000,1
Anchor Books/Knopf Doubleday Publishing Group,<250,1
Anchor Canada,500-749,1
Andrews McMeel Publishing,250-499,2
Andrews McMeel Publishing,<250,10
Andrews McMeel Publishing,>=1000,1
Andrews and McMeel,<250,1
Ann Arbor Media,250-499,2
Ann Arbor Media,<250,1
Annick Press,<250,1
Applause Books,500-749,1
Applause Books,<250,2
Applause Theatre & Cinema Book Publishers,250-499,1
Apple,<250,1
Apple Paperbacks (Scholastic),<250,1
Applewood Books,<250,6
Apress,250-499,3
Apress,750-999,1
Arbordale Publishing,<250,1
Arcade Publishing,<250,1
Arcadia Publishing,<250,3
Arcadia Publishing (SC),<250,4
Archaia,250-499,1
Archaia,<250,1
Archie Comics,<250,1
Archipelago Books,250-499,1
Arden Shakespeare,250-499,1
Arden Shakespeare,>=1000,1
Aris & Phillips,<250,1
Aris and Phillips,<250,1
Arkana,250-499,1
Arkana/Penguin,500-749,1
Arkana/Penguin,750-999,1
Arkham House Publishers,250-499,1
Arkham House Publishers,<250,1
Arlington House,>=1000,1
Arléa,750-999,1
Arrow,250-499,15
Arrow,500-749,6
Arrow,750-999,4
Arrow,<250,2
Arrow,>=1000,1
Arrow (A Division of Random House Group),250-499,1
Arrow Books,250-499,4
Arrow Books,750-999,1
Arrow Books Ltd,<250,1
Arsenal Pulp Press,<250,1
Arthur A. Levine,<250,1
Arthur A. Levine Books,<250,2
Arthur A. Levine Books / Scholastic Inc.,250-499,1
Artisan,250-499,2
Arts Publications,<250,1
Ash Tree Publishing,<250,1
Ash-Tree Press,<250,1
Aspect,250-499,4
Aspect,500-749,1
Association for Scottish Literary Studies,<250,1
Association for Supervision & Curriculum Development,<250,2
Atelos Press,<250,1
Atheneum,<250,2
Atheneum Books,<250,3
Atheneum Books for Young Readers,<250,7
Atheneum Books for Young Readers: Richard Jackson Books,<250,1
Atheneum/Richard Jackson Books,<250,2
Atlantic,250-499,1
Atlantic,<250,1
Atlantic Books,250-499,3
Atlantic Books (UK),250-499,1
Atlantic Books (UK),750-999,1
Atlantic Monthly Press,250-499,2
Atlantic Monthly Press (NYC),250-499,1
Atlas Books/HarperCollins Publishers,<250,1
Atria Books,250-499,15
Atria Books,500-749,5
Atria Books,<250,4
Audio Literature,<250,1
Audio Partners,<250,4
Audio Renaissance,<250,1
AudioGO,<250,8
AudioGO,>=1000,1
AudioText,<250,2
Audiogo,<250,3
Augsburg Fortress Publishing,250-499,3
Aurum,250-499,1
Aurum Press,<250,1
Authorhouse,250-499,2
Avalon Travel,750-999,1
Ave Maria Press,<250,2
Avenel Books,500-749,2
Avery,250-499,1
Avery Publishing Group,250-499,2
Avon,250-499,47
Avon,500-749,3
Avon,750-999,2
Avon,<250,2
Avon,>=1000,2
Avon Books,250-499,16
Avon Books,500-749,2
Avon Books,<250,2
Avon Books (AvoNova),<250,1
Avon Books (P),500-749,1
Avon HarperCollins,250-499,1
AvonEos,250-499,1
Award Books,<250,1
B Books,250-499,1
B Books,<250,1
B Fiction,250-499,1
B&H Publishing Group,<250,2
B.E.S. Publishing,<250,2
BALLANTINE BOOKS,250-499,1
BBC Audiobooks,<250,9
BBC Audiobooks America,<250,1
BBC Audiobooks Ltd,<250,1
BBC Books,250-499,1
BBC Books,<250,1
BBC Physical Audio,<250,5
BBC Worldwide,<250,1
BCP/Duckworth Publishing,<250,1
Babel,250-499,2
Babel,500-749,1
Back Bay,<250,1
Back Bay Books,250-499,25
Back Bay Books,500-749,8
Back Bay Books,750-999,4
Back Bay Books,<250,2
Back Bay Books,>=1000,1
Backinprint.com,250-499,3
Backstage Books,<250,1
Baen,250-499,5
Baen,500-749,8
Baen,750-999,1
Baen Books,250-499,5
Baen Books,500-749,2
Baker Books,250-499,1
Ballantine,250-499,2
Ballantine,500-749,1
Ballantine Books,250-499,98
Ballantine Books,500-749,17
