publisher,average_rating
A.B. Yehoshua,3.6
A.D.P. Briggs,3.76
A.E. Cunningham,4.15
A.J. Jacobs,3.76
A.M. Homes,3.28
A.N. Roquelaure,3.7350000000000003
A.S. Byatt,3.77
Abbie Hoffman,3.96
Abdul Rahman Munif,4.13
Abigail Adams,4.14
Abigail Thomas,3.74
Abolqasem Ferdowsi,4.51
Abraham Lincoln,4.315
Adam  Sexton,3.4
Adam Drozdek,3.8
Adam Ginsberg,3.48
Adam Gopnik,3.6799999999999997
Adam Hochschild,4.236666666666667
Adam Mansbach,3.55
Adam Rex,4.21
Adam Smith,3.88
Adam Swift,3.93
Adam Woog,4.0
Adolfo Bioy Casares,4.17
Adrian Guelke,4.33
Adrian McKinty,3.896666666666667
Adèle Geras,3.72
Aeschylus,4.054285714285713
Aesop,4.05
Agatha Christie,3.9575555555555555
Ai Morinaga,3.54
Aidan Hartley,4.01
Aimee Bender,3.88
Aimé Césaire,3.825
Akira Yoshida,3.31
Al Franken,3.8449999999999998
Al Gore,3.77
Al Ries,4.016
Alain de Botton,3.87
Alan  Lee,4.27
Alan Aldridge,4.26
Alan Brennert,4.17
Alan Cohen,4.27
Alan Dean Foster,3.7643478260869565
Alan Hausman,3.78
Alan Hollinghurst,3.6550000000000002
Alan Lightman,3.465
Alan MacGillivray,3.92
Alan Moore,4.32
Alan Paton,3.9
Alastair Lamb,4.0
Albert Camus,4.039545454545455
Albert Demeo,4.05
Albert Einstein,4.2725
Albert Ellis,3.76
Albert Jack,3.73
Albert Marrin,3.77
Albert Speer,4.13
Alcoholics Anonymous,4.45
Alden T. Vaughan,3.43
Aldon D. Morris,4.05
Aldous Huxley,4.051875
Alec MacLellan,3.84
Aleksandr Solzhenitsyn,4.08
Alex Austin,4.18
Alex C. Jones,4.27
Alex Constantine,3.58
Alex Cox,3.48
Alex Kotlowitz,4.27
Alex Ross,4.33
Alex Went,3.59
Alexander  Walker,3.8
Alexander C. Irvine,3.63
Alexander Heidel,3.95
Alexander Hunter,4.11
Alexander McCall Smith,3.864117647058823
Alexander Payne,4.295
Alexander Pope,3.92
Alexander Pushkin,4.12625
Alexandra Moss,4.016666666666667
Alexandra Robbins,3.18
Alexandra Siy,3.51
Alexandre Dumas,4.064444444444444
Alexandre Dumas fils,3.99
Alexis de Tocqueville,4.0825
Alfred D. Chandler Jr.,4.01
Alfred Hitchcock,3.89
Alfred Uhry,3.71
Ali Vali,4.21
Alice   Miller,4.079999999999999
Alice Dalgliesh,3.91
Alice Hoffman,3.7842857142857143
Alice Kaplan,3.9
Alice Medrich,4.145
Alice Munro,4.0
Alice Randall,3.07
Alice Sebold,3.81
Alice Walker,4.109999999999999
Alice Wong,4.88
Alison Baverstock,4.03
Alison Bechdel,4.08
Alison Weir,4.045
Alistair Horne,4.23
Alistair MacLeod,4.19
Alistair McCallum,3.89
Alistair Moffat,3.7
Alister E. McGrath,4.06
Aljean Harmetz,4.0
Allan C. Weisbecker,3.89
Allan Janik,4.06
Allan Zola Kronzek,4.04
Allegra Goodman,3.32
Allen Carr,4.3
Allen Ginsberg,4.175
Allen J. Frantzen,3.0
Allison Pearson,3.33
Alma Flor Ada,4.09
Alvin L. Reid,3.86
Amanda Clark,3.73
Amanda Eyre Ward,3.54
Amanda Hemingway,3.81
Amartya Sen,3.813333333333333
Amelia Atwater-Rhodes,4.022
America's Test Kitchen,4.35
Amir D. Aczel,3.72
Amitav Ghosh,3.95
Amos Oz,4.22
Amy Cotler,4.3
Amy Goldman Koss,3.87
Amy Krouse Rosenthal,4.02
Amy L. Marsland,3.76
Amy Sedaris,3.73
Amy Sohn,4.01
Amy Tan,3.868
Amy Taubin,3.93
Anaïs Nin,4.037692307692308
Anderson Cooper,3.96
Andre Dubus,4.256666666666667
Andre Dubus III,3.85
Andre Duza,3.69
Andrea Camilleri,4.043333333333334
Andrea Levy,3.825
Andrea Wilson Nightingale,4.33
Andreas Gursky,4.22
Andreas J. Köstenberger,3.93
Andrei Codrescu,3.83
Andrew      Hunt,0.0
Andrew    Hunt,3.22
Andrew Carnegie,3.98
Andrew Cartmel,3.51
Andrew Delbanco,4.04
Andrew Heintzman,3.48
Andrew Helfer,3.66
Andrew Hussey,3.81
Andrew J. Offutt,3.755
