Country,1990,1995,2000,2005,2010,2015,2020,roshd
United States,2.7,3.5,6.5,3.7,3.6,3.2,2.9,0.19999999999999973
India,0.0,-0.26666666666666666,-0.1,-0.3,-0.4,-0.4,-0.4,-0.4
Russian Federation,1.2,3.4,3.2,2.5,3.2,2.5,1.3,0.10000000000000009
Germany,4.3,6.6,1.8,4.033333333333332,0.1,4.8,6.6,2.3
Algeria,-0.8,-0.9,-1.1,-1.3,-0.8500000000000001,-0.8,-0.2,0.6000000000000001
Kazakhstan,-8.4,-3.9499999999999993,-16.4,0.6,-0.4,1.9,-1.0,7.4
Haiti,-4.0,-3.8,-3.6,-3.2,-3.4499999999999997,-2.9,-3.2,0.7999999999999998
Nicaragua,-7.6,-5.583333333333333,-6.0,-6.6,-5.5,-4.5,-3.3,4.3
Burundi,-7.1,-3.8499999999999996,-14.7,-0.7,0.7,-1.5,0.2,7.3
Solomon Islands,-5.8,-4.0,-2.7,-3.8,-5.7,-2.8,-2.5,3.3
Sierra Leone,3.1,-20.9,-6.8,19.6,2.0,-0.6,-0.6,-3.7
Belgium,0.9,2.1,1.0,4.2,5.5,4.7,4.2,3.3000000000000003
Equatorial Guinea,10.4,8.7,12.7,14.8,18.9,17.0,12.4,2.0
Nepal,-2.4,0.8,-4.1,-6.2,-7.4,-15.1,1.5,3.9
Botswana,7.9,3.5,4.7,3.1,2.8,-7.1,1.3,-6.6000000000000005
Tonga,-22.8,-23.0,-17.4,-15.8,-15.2,-25.4,-7.7,15.100000000000001
Cambodia,-1.9,8.3,6.1,-0.6,-4.3,-2.0,-1.9,0.0
Uzbekistan,-3.7,-3.0,-2.0,-1.9,-1.0,-0.4,-0.3,3.4000000000000004
Rwanda,0.9,-41.9,36.2,-1.7,-1.7,-2.0,-0.7,-1.6
Brunei Darussalam,3.0,3.4,2.7,0.2,-1.2,-0.4,0.0,-3.0
Chad,0.1,-0.3,1.8,4.7,1.4,1.5,0.1,0.0
Bhutan,0.6,-0.016666666666666607,0.1,2.0,-3.3,0.1,0.4,-0.19999999999999996
